Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,egitim_agirligi,is_LGS,ocr_kelime_sayisi,ocr_karakter_sayisi,ocr_rakam_sayisi,ocr_cok_adimli
carpanlar,1,yok,baslangic,0.3,0,8,55,2,0
carpanlar,1,yok,baslangic,0.3,0,7,66,2,0
carpanlar,2,yok,baslangic,0.3,0,9,84,0,0
carpanlar,3,yok,baslangic,0.3,0,10,63,0,0
carpanlar,2,yok,baslangic,0.3,0,12,95,1,0
carpanlar,2,yok,baslangic,0.3,0,16,93,0,0
carpanlar,2,yok,baslangic,0.3,0,8,74,0,1
carpanlar,1,yok,baslangic,0.3,0,3,34,0,0
carpanlar,1,yok,baslangic,0.3,0,8,75,3,0
carpanlar,1,yok,baslangic,0.3,0,9,86,3,0
carpanlar,1,yok,baslangic,0.3,0,6,47,2,0
carpanlar,1,yok,baslangic,0.3,0,7,55,3,0
carpanlar,1,yok,baslangic,0.3,0,8,71,2,0
carpanlar,2,yok,baslangic,0.3,0,7,67,3,0
carpanlar,1,yok,baslangic,0.3,0,8,61,3,0
carpanlar,2,yok,baslangic,0.3,0,15,54,7,0
carpanlar,2,yok,baslangic,0.3,0,6,23,0,0
carpanlar,3,yok,baslangic,0.3,0,5,33,0,0
carpanlar,2,yok,baslangic,0.3,0,7,65,3,0
carpanlar,2,yok,baslangic,0.3,0,9,74,0,0
carpanlar,3,yok,baslangic,0.3,0,5,43,0,0
carpanlar,1,yok,baslangic,0.3,0,7,59,0,0
carpanlar,2,yok,baslangic,0.3,0,4,25,0,0
carpanlar,3,yok,baslangic,0.3,0,11,70,4,0
carpanlar,3,yok,baslangic,0.3,0,7,60,0,0
carpanlar,3,yok,baslangic,0.3,0,15,72,3,0
carpanlar,2,yok,baslangic,0.3,0,7,50,0,0
carpanlar,3,yok,baslangic,0.3,0,5,34,0,0
carpanlar,3,resimli,baslangic,0.3,0,14,108,0,0
carpanlar,3,resimli,baslangic,0.3,0,8,50,0,0
carpanlar,4,geometrik_sekil,ornek,0.8,1,9,85,0,0
carpanlar,4,geometrik_sekil,ornek,0.8,1,9,83,0,0
carpanlar,3,resimli,ornek,0.8,1,14,109,2,0
carpanlar,4,geometrik_sekil,ornek,0.8,1,10,69,0,1
carpanlar,5,resimli,ornek,0.8,1,17,114,1,1
carpanlar,3,sematik,ornek,0.8,1,18,143,2,0
carpanlar,3,sematik,ornek,0.8,1,25,190,3,0
carpanlar,4,sematik,ornek,0.8,1,19,156,0,0
carpanlar,3,sematik,ornek,0.8,1,20,141,0,0
carpanlar,4,resimli,ornek,0.8,1,23,173,6,0
ebob_ekok,1,yok,baslangic,0.3,0,11,80,4,0
ebob_ekok,2,sematik,baslangic,0.3,0,20,137,0,0
ebob_ekok,2,yok,baslangic,0.3,0,14,95,4,0
ebob_ekok,2,yok,baslangic,0.3,0,23,158,4,1
ebob_ekok,2,yok,baslangic,0.3,0,22,148,6,1
ebob_ekok,2,yok,baslangic,0.3,0,21,142,6,1
ebob_ekok,3,yok,baslangic,0.3,0,22,151,8,0
ebob_ekok,2,yok,baslangic,0.3,0,23,150,6,1
ebob_ekok,2,yok,baslangic,0.3,0,20,130,4,1
ebob_ekok,3,yok,baslangic,0.3,0,23,156,4,1
ebob_ekok,1,yok,baslangic,0.3,0,22,149,2,0
ebob_ekok,1,yok,baslangic,0.3,0,23,145,3,1
ebob_ekok,2,yok,baslangic,0.3,0,15,102,0,0
ebob_ekok,3,yok,baslangic,0.3,0,21,143,4,0
ebob_ekok,3,yok,baslangic,0.3,0,14,97,0,0
ebob_ekok,2,yok,baslangic,0.3,0,13,84,4,0
ebob_ekok,3,yok,baslangic,0.3,0,12,87,3,0
ebob_ekok,3,yok,baslangic,0.3,0,14,101,5,0
ebob_ekok,2,yok,baslangic,0.3,0,17,103,8,0
ebob_ekok,2,yok,baslangic,0.3,0,22,140,5,1
ebob_ekok,2,yok,baslangic,0.3,0,20,135,8,0
ebob_ekok,2,yok,baslangic,0.3,0,19,133,8,0
ebob_ekok,3,yok,baslangic,0.3,0,24,164,4,1
ebob_ekok,2,yok,baslangic,0.3,0,21,140,4,1
ebob_ekok,3,yok,baslangic,0.3,0,19,153,0,0
ebob_ekok,2,yok,baslangic,0.3,0,16,111,8,0
ebob_ekok,2,yok,baslangic,0.3,0,15,96,5,0
ebob_ekok,3,yok,baslangic,0.3,0,18,127,5,0
ebob_ekok,2,yok,baslangic,0.3,0,18,121,1,1
ebob_ekok,3,yok,baslangic,0.3,0,22,150,4,1
ebob_ekok,3,sematik,baslangic,0.3,0,13,78,7,1
ebob_ekok,2,yok,baslangic,0.3,0,15,98,0,1
ebob_ekok,3,sematik,baslangic,0.3,0,15,104,0,0
ebob_ekok,4,resimli,baslangic,0.3,0,15,93,10,1
ebob_ekok,4,sematik,baslangic,0.3,0,15,108,3,1
ebob_ekok,2,yok,baslangic,0.3,0,12,69,3,0
ebob_ekok,3,yok,baslangic,0.3,0,18,90,6,0
ebob_ekok,1,yok,baslangic,0.3,0,9,58,4,0
ebob_ekok,2,yok,baslangic,0.3,0,12,71,6,0
ebob_ekok,4,sematik,ornek,0.8,1,26,131,7,1
ebob_ekok,4,yok,ornek,0.8,1,20,134,8,0
ebob_ekok,3,sematik,ornek,0.8,1,26,153,6,0
ebob_ekok,4,sematik,ornek,0.8,1,18,123,0,1
ebob_ekok,4,resimli,ornek,0.8,1,23,152,6,0
ebob_ekok,4,yok,ornek,0.8,1,25,145,7,0
ebob_ekok,4,yok,ornek,0.8,1,21,121,7,1
ebob_ekok,4,sematik,ornek,0.8,1,22,140,6,1
ebob_ekok,3,sematik,ornek,0.8,1,23,152,4,0
ebob_ekok,4,yok,ornek,0.8,1,24,143,6,0
ebob_ekok,4,sematik,ornek,0.8,1,23,144,7,1
ebob_ekok,4,yok,ornek,0.8,1,21,141,8,1
ebob_ekok,5,sematik,ornek,0.8,1,21,161,10,1
ebob_ekok,4,sematik,ornek,0.8,1,23,172,0,1
ebob_ekok,4,sematik,ornek,0.8,1,25,151,3,1
ebob_ekok,4,sematik,ornek,0.8,1,26,167,6,1
ebob_ekok,5,resimli,ornek,0.8,1,27,182,7,0
ebob_ekok,5,sematik,ornek,0.8,1,23,172,0,1
ebob_ekok,4,resimli,ornek,0.8,1,27,171,6,0
ebob_ekok,4,resimli,ornek,0.8,1,25,151,8,1
ebob_ekok,4,sematik,ornek,0.8,1,31,164,7,1
ebob_ekok,3,yok,ornek,0.8,1,19,152,0,1
ebob_ekok,4,geometrik_sekil,ornek,0.8,1,18,133,1,0
ebob_ekok,3,yok,ornek,0.8,1,31,176,10,0
ebob_ekok,4,resimli,ornek,0.8,1,26,169,10,1
ebob_ekok,3,resimli,ornek,0.8,1,25,171,4,1
ebob_ekok,4,resimli,ornek,0.8,1,21,149,4,0
ebob_ekok,4,geometrik_sekil,ornek,0.8,1,20,176,0,1
ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
ebob_ekok,3,sematik,ornek,0.8,1,26,187,0,0
ebob_ekok,3,resimli,ornek,0.8,1,23,179,0,0
ebob_ekok,4,sematik,ornek,0.8,1,25,213,0,0
ebob_ekok,3,resimli,ornek,0.8,1,25,204,0,0
ebob_ekok,3,sematik,ornek,0.8,1,25,187,0,0
ebob_ekok,3,resimli,ornek,0.8,1,26,186,0,0
ebob_ekok,3,resimli,ornek,0.8,1,24,182,0,1
ebob_ekok,4,geometrik_sekil,ornek,0.8,1,23,211,0,0
ebob_ekok,3,sematik,ornek,0.8,1,29,229,0,0
ebob_ekok,3,geometrik_sekil,ornek,0.8,1,27,222,0,1
ebob_ekok,3,sematik,ornek,0.8,1,27,205,0,0
ebob_ekok,4,geometrik_sekil,ornek,0.8,1,26,214,0,1
ebob_ekok,3,sematik,ornek,0.8,1,27,190,0,0
ebob_ekok,4,geometrik_sekil,ornek,0.8,1,25,212,0,0
ebob_ekok,3,sematik,ornek,0.8,1,32,229,0,0
ebob_ekok,4,sematik,ornek,0.8,1,30,220,4,0
ebob_ekok,4,sematik,ornek,0.8,1,32,240,0,0
ebob_ekok,3,resimli,ornek,0.8,1,26,219,0,1
ebob_ekok,3,sematik,ornek,0.8,1,29,216,0,0
ebob_ekok,4,resimli,ornek,0.8,1,36,278,0,0
aralarinda_asal,1,yok,baslangic,0.3,0,24,152,0,0
aralarinda_asal,2,yok,baslangic,0.3,0,20,162,0,0
aralarinda_asal,2,sematik,baslangic,0.3,0,21,155,0,0
aralarinda_asal,2,geometrik_sekil,baslangic,0.3,0,20,167,0,0
aralarinda_asal,1,yok,baslangic,0.3,0,17,140,0,0
aralarinda_asal,1,sematik,baslangic,0.3,0,16,133,0,0
aralarinda_asal,2,yok,baslangic,0.3,0,24,161,0,1
aralarinda_asal,2,sematik,baslangic,0.3,0,20,158,4,0
aralarinda_asal,2,yok,baslangic,0.3,0,19,134,6,0
aralarinda_asal,2,geometrik_sekil,baslangic,0.3,0,18,146,0,0
aralarinda_asal,1,yok,baslangic,0.3,0,16,101,4,0
aralarinda_asal,2,yok,baslangic,0.3,0,18,108,2,0
aralarinda_asal,2,yok,baslangic,0.3,0,16,82,2,0
aralarinda_asal,1,yok,baslangic,0.3,0,11,63,6,0
aralarinda_asal,1,yok,baslangic,0.3,0,11,64,6,0
aralarinda_asal,2,yok,baslangic,0.3,0,14,99,0,0
aralarinda_asal,2,yok,baslangic,0.3,0,15,85,0,0
aralarinda_asal,3,sematik,baslangic,0.3,0,17,103,0,0
aralarinda_asal,3,resimli,ornek,0.8,1,13,109,0,0
aralarinda_asal,4,geometrik_sekil,ornek,0.8,1,12,109,0,0
aralarinda_asal,4,sematik,ornek,0.8,1,11,99,0,0
aralarinda_asal,3,geometrik_sekil,ornek,0.8,1,16,104,4,1
aralarinda_asal,4,sematik,ornek,0.8,1,16,93,0,1
aralarinda_asal,4,sematik,ornek,0.8,1,14,117,1,0
aralarinda_asal,4,sematik,ornek,0.8,1,12,95,1,0
aralarinda_asal,3,resimli,ornek,0.8,1,15,98,0,0
aralarinda_asal,3,resimli,ornek,0.8,1,11,76,0,0
aralarinda_asal,3,resimli,ornek,0.8,1,13,100,0,0
aralarinda_asal,3,resimli,ornek,0.8,1,11,95,0,0
aralarinda_asal,3,sematik,ornek,0.8,1,16,101,6,0
aralarinda_asal,2,yok,ornek,0.8,1,15,101,2,0
ebob_ekok,4,resimli,cikmis,1.0,1,15,85,1,0
ebob_ekok,4,sematik,cikmis,1.0,1,14,86,3,1
ebob_ekok,4,sematik,cikmis,1.0,1,16,89,2,1
aralarinda_asal,3,resimli,cikmis,1.0,1,14,102,4,0
carpanlar,3,tablo,cikmis,1.0,1,14,96,2,0
carpanlar,3,sematik,cikmis,1.0,1,12,88,0,0
ebob_ekok,4,geometrik_sekil,cikmis,1.0,1,13,75,6,0
aralarinda_asal,4,geometrik_sekil,cikmis,1.0,1,15,103,0,1
ebob_ekok,5,sematik,cikmis,1.0,1,14,96,3,0
ebob_ekok,3,sematik,cikmis,1.0,1,13,85,4,0
ebob_ekok,4,resimli,cikmis,1.0,1,16,98,9,0
ebob_ekok,3,yok,cikmis,1.0,1,16,95,5,1
ebob_ekok,5,geometrik_sekil,cikmis,1.0,1,17,95,8,1
ebob_ekok,5,geometrik_sekil,cikmis,1.0,1,11,81,0,1
